Date,Home Team,Score,Away Team
06/04/24,Tongham U12,1 - 2,Down Grange U12 Pumas
06/04/24,Down Grange U12 Pumas,2 - 3,Tongham U12
23/03/24,Curley Park Rangers U12 Mambas,0 - 3,Down Grange U12 Pumas
23/03/24,Down Grange U12 Pumas,3 - 1,Curley Park Rangers U12 Mambas
09/03/24,Down Grange U12 Pumas,2 - 1,Farnham Town U12 Panthers
24/02/24,Bourne Blades U12 Whites,2 - 1,Down Grange U12 Pumas
17/02/24,Down Grange U12 Pumas,2 - 2,Aldershot B&G U12 Lions
03/02/24,Fernhurst Sports U12 Terriers,4 - 3,Down Grange U12 Pumas
27/01/24,Beacon Hill U12 Rockets,1 - 9,Down Grange U12 Pumas
13/01/24,Farnham Town U12 Panthers,2 - 3,Down Grange U12 Pumas
16/12/23,Mytchett Athletic U12 Hawks,2 - 4,Down Grange U12 Pumas
25/11/23,Aldershot B&G U12 Lions,2 - 4,Down Grange U12 Pumas
11/11/23,Down Grange Youth U12 Pumas,0 - 12,Horndean Hawks Youth Horndean Hawks U12
